Time used: 4.2799999713897705, Time in circle: 0
Time used: 7.019999980926514, Time in circle: 0
Time used: 9.660000085830688, Time in circle: 0
Time used: 12.259999990463257, Time in circle: 0
Time used: 14.730000019073486, Time in circle: 0
Time used: 17.630000114440918, Time in circle: 0
Time used: 20.230000019073486, Time in circle: 0
Time used: 22.90000009536743, Time in circle: 0
Time used: 25.72000002861023, Time in circle: 0
Time used: 28.670000076293945, Time in circle: 0
Time used: 31.480000019073486, Time in circle: 0
Time used: 34.10000014305115, Time in circle: 0
Time used: 37.049999952316284, Time in circle: 0
Time used: 40.640000104904175, Time in circle: 0
Time used: 43.94000005722046, Time in circle: 0
Time used: 46.66000008583069, Time in circle: 0
Time used: 49.33999991416931, Time in circle: 0
Time used: 52.0, Time in circle: 0
Time used: 54.5, Time in circle: 0
Time used: 1.2400000095367432, Time in circle: 0
Time used: 2.080000162124634, Time in circle: 0
Time used: 2.890000104904175, Time in circle: 0
Time used: 3.680000066757202, Time in circle: 0
Time used: 4.440000057220459, Time in circle: 0
Time used: 5.330000162124634, Time in circle: 0
Time used: 6.120000123977661, Time in circle: 0
Time used: 6.950000047683716, Time in circle: 0
Time used: 7.75, Time in circle: 0
Time used: 8.870000123977661, Time in circle: 0
Time used: 9.700000047683716, Time in circle: 0
Time used: 10.509999990463257, Time in circle: 0
Time used: 11.34000015258789, Time in circle: 0
Time used: 12.22000002861023, Time in circle: 0
Time used: 13.100000143051147, Time in circle: 0
Time used: 13.990000009536743, Time in circle: 0
Time used: 14.890000104904175, Time in circle: 0
Time used: 15.809999942779541, Time in circle: 0
Time used: 16.730000019073486, Time in circle: 0
Time used: 17.640000104904175, Time in circle: 0
Time used: 18.59000015258789, Time in circle: 0
Time used: 19.47000002861023, Time in circle: 0
Time used: 20.37000012397766, Time in circle: 0
Time used: 21.299999952316284, Time in circle: 0
Time used: 22.200000047683716, Time in circle: 0
Time used: 23.110000133514404, Time in circle: 0
Time used: 24.05999994277954, Time in circle: 0
Time used: 24.960000038146973, Time in circle: 0
Time used: 25.850000143051147, Time in circle: 0
Time used: 26.769999980926514, Time in circle: 0
Time used: 27.66000008583069, Time in circle: 0
Time used: 28.570000171661377, Time in circle: 0
Time used: 29.509999990463257, Time in circle: 0
Time used: 30.41000008583069, Time in circle: 0
Time used: 31.27999997138977, Time in circle: 0
Time used: 32.19000005722046, Time in circle: 0
Time used: 33.110000133514404, Time in circle: 0
Time used: 34.02999997138977, Time in circle: 0
Time used: 34.950000047683716, Time in circle: 0
Time used: 35.88000011444092, Time in circle: 0
Time used: 36.80999994277954, Time in circle: 0
Time used: 37.700000047683716, Time in circle: 0
Time used: 38.640000104904175, Time in circle: 0
Time used: 39.55999994277954, Time in circle: 0
Time used: 40.5, Time in circle: 0
Time used: 41.420000076293945, Time in circle: 0
Time used: 42.34000015258789, Time in circle: 0
Time used: 43.230000019073486, Time in circle: 0
Time used: 44.21000003814697, Time in circle: 0
Time used: 45.13000011444092, Time in circle: 0
Time used: 46.03999996185303, Time in circle: 0
Time used: 46.950000047683716, Time in circle: 0
Time used: 47.87000012397766, Time in circle: 0
Time used: 48.82000017166138, Time in circle: 0
Time used: 49.700000047683716, Time in circle: 0
Time used: 50.60000014305115, Time in circle: 0
Time used: 51.53999996185303, Time in circle: 0
Time used: 52.46000003814697, Time in circle: 0
Time used: 53.38000011444092, Time in circle: 0
Time used: 54.330000162124634, Time in circle: 0
Time used: 55.24000000953674, Time in circle: 0
Time used: 56.15000009536743, Time in circle: 0
Time used: 57.03999996185303, Time in circle: 0
Time used: 57.96000003814697, Time in circle: 0
Time used: 58.91000008583069, Time in circle: 0
Time used: 59.82000017166138, Time in circle: 0
Time used: 60.75999999046326, Time in circle: 0
Time used: 61.6800000667572, Time in circle: 0
Time used: 62.57000017166138, Time in circle: 0
Time used: 63.49000000953674, Time in circle: 0
Time used: 64.40000009536743, Time in circle: 0
Time used: 65.29999995231628, Time in circle: 0
Time used: 66.25, Time in circle: 0
Time used: 67.16000008583069, Time in circle: 0
Time used: 68.08000016212463, Time in circle: 0
Time used: 68.97000002861023, Time in circle: 0
Time used: 69.89000010490417, Time in circle: 0
Time used: 70.79999995231628, Time in circle: 0
Time used: 71.75999999046326, Time in circle: 0
Time used: 72.70000004768372, Time in circle: 0
Time used: 73.64000010490417, Time in circle: 0
Time used: 74.57000017166138, Time in circle: 0
Time used: 75.51999998092651, Time in circle: 0
Time used: 76.49000000953674, Time in circle: 0
Time used: 77.44000005722046, Time in circle: 0
Time used: 78.3600001335144, Time in circle: 0
Time used: 79.40000009536743, Time in circle: 0
Time used: 80.32000017166138, Time in circle: 0
Time used: 81.25, Time in circle: 0
Time used: 82.21000003814697, Time in circle: 0
Time used: 83.23000001907349, Time in circle: 0
Time used: 1.2400000095367432, Time in circle: 0
Time used: 2.2100000381469727, Time in circle: 0
Time used: 3.179999828338623, Time in circle: 0
Time used: 4.079999923706055, Time in circle: 0
Time used: 5.009999990463257, Time in circle: 0
Time used: 5.93999981880188, Time in circle: 0
Time used: 6.919999837875366, Time in circle: 0
Time used: 7.889999866485596, Time in circle: 0
Time used: 8.849999904632568, Time in circle: 0
Time used: 9.849999904632568, Time in circle: 0
Time used: 10.859999895095825, Time in circle: 0
Time used: 11.799999952316284, Time in circle: 0
Time used: 12.730000019073486, Time in circle: 0
Time used: 13.65999984741211, Time in circle: 0
Time used: 14.609999895095825, Time in circle: 0
Time used: 15.519999980926514, Time in circle: 0
Time used: 16.43999981880188, Time in circle: 0
Time used: 17.319999933242798, Time in circle: 0
Time used: 18.200000047683716, Time in circle: 0
Time used: 19.079999923706055, Time in circle: 0
Time used: 19.950000047683716, Time in circle: 0
Time used: 20.829999923706055, Time in circle: 0
Time used: 21.72000002861023, Time in circle: 0
Time used: 22.579999923706055, Time in circle: 0
Time used: 23.460000038146973, Time in circle: 0
Time used: 24.359999895095825, Time in circle: 0
Time used: 25.269999980926514, Time in circle: 0
Time used: 26.149999856948853, Time in circle: 0
Time used: 27.009999990463257, Time in circle: 0
Time used: 27.960000038146973, Time in circle: 0
Time used: 28.829999923706055, Time in circle: 0
Time used: 29.75, Time in circle: 0
Time used: 30.65999984741211, Time in circle: 0
Time used: 31.539999961853027, Time in circle: 0
Time used: 32.450000047683716, Time in circle: 0
Time used: 33.37999987602234, Time in circle: 0
Time used: 34.24000000953674, Time in circle: 0
Time used: 35.14999985694885, Time in circle: 0
Time used: 36.11999988555908, Time in circle: 0
Time used: 36.99000000953674, Time in circle: 0
Time used: 37.889999866485596, Time in circle: 0
Time used: 38.799999952316284, Time in circle: 0
Time used: 39.75999999046326, Time in circle: 0
Time used: 40.669999837875366, Time in circle: 0
Time used: 41.58999991416931, Time in circle: 0
Time used: 42.47000002861023, Time in circle: 0
Time used: 43.40999984741211, Time in circle: 0
Time used: 44.34999990463257, Time in circle: 0
Time used: 45.25999999046326, Time in circle: 0
Time used: 46.17999982833862, Time in circle: 0
Time used: 47.139999866485596, Time in circle: 0
Time used: 48.139999866485596, Time in circle: 0
Time used: 49.11999988555908, Time in circle: 0
Time used: 50.079999923706055, Time in circle: 0
Time used: 51.019999980926514, Time in circle: 0
Time used: 51.90999984741211, Time in circle: 0
Time used: 52.799999952316284, Time in circle: 0
Time used: 53.67999982833862, Time in circle: 0
Time used: 54.579999923706055, Time in circle: 0
Time used: 55.480000019073486, Time in circle: 0
Time used: 56.37999987602234, Time in circle: 0
Time used: 57.27999997138977, Time in circle: 0
Time used: 58.200000047683716, Time in circle: 0
Time used: 59.11999988555908, Time in circle: 0
Time used: 60.0699999332428, Time in circle: 0
Time used: 61.00999999046326, Time in circle: 0
Time used: 62.0, Time in circle: 0
Time used: 62.96000003814697, Time in circle: 0
Time used: 63.859999895095825, Time in circle: 0
Time used: 64.75999999046326, Time in circle: 0
Time used: 65.6399998664856, Time in circle: 0
Time used: 66.64999985694885, Time in circle: 0
Time used: 67.60999989509583, Time in circle: 0
Time used: 68.59999990463257, Time in circle: 0
Time used: 69.62999987602234, Time in circle: 0
Time used: 70.67999982833862, Time in circle: 0
Time used: 71.65999984741211, Time in circle: 0
Time used: 72.65999984741211, Time in circle: 0
Time used: 73.65999984741211, Time in circle: 0
Time used: 74.6399998664856, Time in circle: 0
Time used: 75.61999988555908, Time in circle: 0
Time used: 76.64999985694885, Time in circle: 0
Time used: 77.66999983787537, Time in circle: 0
Time used: 78.68999981880188, Time in circle: 0
Time used: 79.67999982833862, Time in circle: 0
Time used: 80.66999983787537, Time in circle: 0
Time used: 81.66999983787537, Time in circle: 0
Time used: 82.66999983787537, Time in circle: 0
Time used: 83.6399998664856, Time in circle: 0
Time used: 84.55999994277954, Time in circle: 0
Time used: 85.53999996185303, Time in circle: 0
Time used: 86.49000000953674, Time in circle: 0
Time used: 87.49000000953674, Time in circle: 0
Time used: 88.40999984741211, Time in circle: 0
Time used: 89.34999990463257, Time in circle: 0
Time used: 90.25999999046326, Time in circle: 0
Time used: 91.18999981880188, Time in circle: 0
Time used: 92.11999988555908, Time in circle: 0
Time used: 93.11999988555908, Time in circle: 0
Time used: 94.05999994277954, Time in circle: 0
Time used: 94.99000000953674, Time in circle: 0
Time used: 95.97000002861023, Time in circle: 0
Time used: 96.97000002861023, Time in circle: 0
