Time used: 3.9099998474121094, Time in circle: 0
Time used: 6.669999837875366, Time in circle: 0
Time used: 9.309999942779541, Time in circle: 0
Time used: 11.899999856948853, Time in circle: 0
Time used: 14.379999876022339, Time in circle: 0
Time used: 17.259999990463257, Time in circle: 0
Time used: 19.869999885559082, Time in circle: 0
Time used: 22.539999961853027, Time in circle: 0
Time used: 25.369999885559082, Time in circle: 0
Time used: 28.30999994277954, Time in circle: 0
Time used: 31.119999885559082, Time in circle: 0
Time used: 33.75, Time in circle: 0
Time used: 36.68999981880188, Time in circle: 0
Time used: 40.269999980926514, Time in circle: 0
Time used: 43.5699999332428, Time in circle: 0
Time used: 46.299999952316284, Time in circle: 0
Time used: 48.96999979019165, Time in circle: 0
Time used: 51.64999985694885, Time in circle: 0
Time used: 54.139999866485596, Time in circle: 0
Time used: 1.2300000190734863, Time in circle: 0
Time used: 2.070000171661377, Time in circle: 0
Time used: 2.880000114440918, Time in circle: 0
Time used: 3.680000066757202, Time in circle: 0
Time used: 4.430000066757202, Time in circle: 0
Time used: 5.330000162124634, Time in circle: 0
Time used: 6.110000133514404, Time in circle: 0
Time used: 6.940000057220459, Time in circle: 0
Time used: 7.75, Time in circle: 0
Time used: 8.870000123977661, Time in circle: 0
Time used: 9.690000057220459, Time in circle: 0
Time used: 10.5, Time in circle: 0
Time used: 11.330000162124634, Time in circle: 0
Time used: 12.210000038146973, Time in circle: 0
Time used: 13.09000015258789, Time in circle: 0
Time used: 13.980000019073486, Time in circle: 0
Time used: 14.880000114440918, Time in circle: 0
Time used: 15.799999952316284, Time in circle: 0
Time used: 16.72000002861023, Time in circle: 0
Time used: 17.640000104904175, Time in circle: 0
Time used: 18.580000162124634, Time in circle: 0
Time used: 19.460000038146973, Time in circle: 0
Time used: 20.360000133514404, Time in circle: 0
Time used: 21.289999961853027, Time in circle: 0
Time used: 22.19000005722046, Time in circle: 0
Time used: 23.110000133514404, Time in circle: 0
Time used: 24.049999952316284, Time in circle: 0
Time used: 24.950000047683716, Time in circle: 0
Time used: 25.84000015258789, Time in circle: 0
Time used: 26.759999990463257, Time in circle: 0
Time used: 27.65000009536743, Time in circle: 0
Time used: 28.56000018119812, Time in circle: 0
Time used: 29.5, Time in circle: 0
Time used: 30.40000009536743, Time in circle: 0
Time used: 31.269999980926514, Time in circle: 0
Time used: 32.1800000667572, Time in circle: 0
Time used: 33.110000133514404, Time in circle: 0
Time used: 34.019999980926514, Time in circle: 0
Time used: 34.94000005722046, Time in circle: 0
Time used: 35.88000011444092, Time in circle: 0
Time used: 36.799999952316284, Time in circle: 0
Time used: 37.700000047683716, Time in circle: 0
Time used: 38.640000104904175, Time in circle: 0
Time used: 39.549999952316284, Time in circle: 0
Time used: 40.49000000953674, Time in circle: 0
Time used: 41.420000076293945, Time in circle: 0
Time used: 42.34000015258789, Time in circle: 0
Time used: 43.230000019073486, Time in circle: 0
Time used: 44.200000047683716, Time in circle: 0
Time used: 45.12000012397766, Time in circle: 0
Time used: 46.03999996185303, Time in circle: 0
Time used: 46.94000005722046, Time in circle: 0
Time used: 47.87000012397766, Time in circle: 0
Time used: 48.81000018119812, Time in circle: 0
Time used: 49.700000047683716, Time in circle: 0
Time used: 50.59000015258789, Time in circle: 0
Time used: 51.52999997138977, Time in circle: 0
Time used: 52.450000047683716, Time in circle: 0
Time used: 53.38000011444092, Time in circle: 0
Time used: 54.32000017166138, Time in circle: 0
Time used: 55.230000019073486, Time in circle: 0
Time used: 56.140000104904175, Time in circle: 0
Time used: 57.03999996185303, Time in circle: 0
